_Hex,_Red,_Green,_Blue,_Title,_Name,_grey,_X11,_SVG,
'808080,128,128,128,gray,,gray,diff,SVG,
'008000,0,128,0,green,,,diff,SVG,
'808080,128,128,128,grey,,grey,diff,SVG,
'800000,128,0,0,maroon,,,diff,SVG,
'800080,128,0,128,purple,,,diff,SVG,
'A9A9A9,169,169,169,darkgrey,,grey,none,SVG,
'F0F8FF,240,248,255,AliceBlue,alice-blue,,X11,SVG,
'FAEBD7,250,235,215,AntiqueWhite,antique-white,,X11,SVG,
'FFEFDB,255,239,219,AntiqueWhite1,,,X11,,
'EEDFCC,238,223,204,AntiqueWhite2,,,X11,,
'CDC0B0,205,192,176,AntiqueWhite3,,,X11,,
'8B8378,139,131,120,AntiqueWhite4,,,X11,,
'00FFFF,0,255,255,aqua,,,X11,SVG,
'7FFFD4,127,255,212,aquamarine,,,X11,SVG,
'7FFFD4,127,255,212,aquamarine1,,,X11,,
'76EEC6,118,238,198,aquamarine2,,,X11,,
'66CDAA,102,205,170,aquamarine3,,,X11,,
'458B74,69,139,116,aquamarine4,,,X11,,
'F0FFFF,240,255,255,azure,,,X11,SVG,
'F0FFFF,240,255,255,azure1,,,X11,,
'E0EEEE,224,238,238,azure2,,,X11,,
'C1CDCD,193,205,205,azure3,,,X11,,
'838B8B,131,139,139,azure4,,,X11,,
'F5F5DC,245,245,220,beige,,,X11,SVG,
'FFE4C4,255,228,196,bisque,,,X11,SVG,
'FFE4C4,255,228,196,bisque1,,,X11,,
'EED5B7,238,213,183,bisque2,,,X11,,
'CDB79E,205,183,158,bisque3,,,X11,,
'8B7D6B,139,125,107,bisque4,,,X11,,
'000000,0,0,0,black,,,X11,SVG,
'FFEBCD,255,235,205,BlanchedAlmond,blanched-almond,,X11,SVG,
'0000FF,0,0,255,blue,,,X11,SVG,
'0000FF,0,0,255,blue1,,,X11,,
'0000EE,0,0,238,blue2,,,X11,,
'0000CD,0,0,205,blue3,,,X11,,
'00008B,0,0,139,blue4,,,X11,,
'8A2BE2,138,43,226,BlueViolet,blue-violet,,X11,SVG,
'A52A2A,165,42,42,brown,,,X11,SVG,
'FF4040,255,64,64,brown1,,,X11,,
'EE3B3B,238,59,59,brown2,,,X11,,
'CD3333,205,51,51,brown3,,,X11,,
'8B2323,139,35,35,brown4,,,X11,,
'DEB887,222,184,135,burlywood,,,X11,SVG,
'FFD39B,255,211,155,burlywood1,,,X11,,
'EEC591,238,197,145,burlywood2,,,X11,,
'CDAA7D,205,170,125,burlywood3,,,X11,,
'8B7355,139,115,85,burlywood4,,,X11,,
'5F9EA0,95,158,160,CadetBlue,cadet-blue,,X11,SVG,
'98F5FF,152,245,255,CadetBlue1,,,X11,,
'8EE5EE,142,229,238,CadetBlue2,,,X11,,
'7AC5CD,122,197,205,CadetBlue3,,,X11,,
'53868B,83,134,139,CadetBlue4,,,X11,,
'7FFF00,127,255,0,chartreuse,,,X11,SVG,
'7FFF00,127,255,0,chartreuse1,,,X11,,
'76EE00,118,238,0,chartreuse2,,,X11,,
'66CD00,102,205,0,chartreuse3,,,X11,,
'458B00,69,139,0,chartreuse4,,,X11,,
'D2691E,210,105,30,chocolate,,,X11,SVG,
'FF7F24,255,127,36,chocolate1,,,X11,,
'EE7621,238,118,33,chocolate2,,,X11,,
'CD661D,205,102,29,chocolate3,,,X11,,
'8B4513,139,69,19,chocolate4,,,X11,,
